start_reg_no | college_code | college_name | branch_code | branch_name
22102102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 102 | Mechanical Engineering
22104102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 104 | Electronics & Communication Engineering
22105102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 105 | Computer Science & Engineering
22110102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 110 | Electrical & Electronics Engineering
22101103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 101 | Civil Engineering
22102103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 102 | Mechanical Engineering
22104103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 104 | Electronics & Communication Engineering
22105103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 105 | Computer Science & Engineering
22110103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 110 | Electrical & Electronics Engineering
22101106001 | 106 | Sityog Institute of Technology, Aurangabad | 101 | Civil Engineering
22102106001 | 106 | Sityog Institute of Technology, Aurangabad | 102 | Mechanical Engineering
22103106001 | 106 | Sityog Institute of Technology, Aurangabad | 103 | Electrical Engineering
22105106001 | 106 | Sityog Institute of Technology, Aurangabad | 105 | Computer Science & Engineering
22101107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 101 | Civil Engineering
22102107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 102 | Mechanical Engineering
22103107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 103 | Electrical Engineering
22104107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 104 | Electronics & Communication Engineering
22106107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 106 | Information Technology
22107107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 107 | Leather Technology Engineering
22117107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 117 | Biomedical and Robotic Engineering
22101108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 101 | Civil Engineering
22102108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 102 | Mechanical Engineering
22103108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 103 | Electrical Engineering
22104108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 104 | Electronics & Communication Engineering
22105108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 105 | Computer Science & Engineering
22101109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 101 | Civil Engineering
22102109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 102 | Mechanical Engineering
22105109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 105 | Computer Science & Engineering
22110109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 110 | Electrical & Electronics Engineering
22116109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 116 | Aeronautical Engineering
22101110001 | 110 | Gaya College of Engineering, Gaya | 101 | Civil Engineering
22102110001 | 110 | Gaya College of Engineering, Gaya | 102 | Mechanical Engineering
